file,code,comments,docstrings,blank,total
webui\presentation\renderers\histogram.py,35,0,1,8,44
webui\ui\analysis\tasks\form_utils.py,35,0,1,13,49
webui\ui\analysis\tasks\ui_hints.py,35,0,3,9,47
presentation\plot\renderers\scatter3d.py,34,0,2,7,43
utils\numerical\extrema_finder.py,33,0,40,23,96
cli\path.py,32,2,12,9,55
analysis\electrostatics\__init__.py,30,0,1,2,33
webui\utils.py,30,0,4,11,45
presentation\convert.py,29,5,37,19,90
utils\numerical\moving_average.py,29,0,58,16,103
presentation\movie\make_video.py,27,4,54,24,109
webui\ui\logs\components.py,27,0,2,4,33
engine\common\io\geo_io.py,26,0,10,10,46
utils\numerical\numerical_calcs.py,26,2,30,17,75
analysis\active_sites\classification.py,25,0,2,4,31
analysis\__init__.py,24,0,5,3,32
presentation\units.py,24,0,56,24,104
utils\equation_of_states.py,24,0,55,17,96
utils\numerical\__init__.py,24,0,5,3,32
core\workflow_cli_routing_registry.py,23,0,4,13,40
core\constants.py,21,0,37,17,75
presentation\report_registry.py,20,0,3,12,35
webui\components.py,16,0,1,2,19
webui\backend\adapters\engine_probe.py,15,1,2,5,23
webui\ui\shared\debounce.py,12,0,2,9,23
analysis\control\__init__.py,10,0,1,2,13
analysis\kinematics\__init__.py,10,0,1,2,13
analysis\params\__init__.py,10,0,1,2,13
presentation\__init__.py,10,0,1,6,17
webui\callbacks.py,10,0,2,6,18
workflows\meta\gui_workflow.py,10,0,3,8,21
workflows\__init__.py,5,0,4,3,12
core\exceptions.py,4,0,17,6,27
domain\base_request.py,4,0,2,4,10
domain\base_result.py,4,0,2,4,10
engine\__init__.py,4,0,1,2,7
webui\__init__.py,3,0,1,2,6
webui\layouts.py,3,0,1,2,6
webui\presentation\__init__.py,3,0,1,2,6
cli\__init__.py,1,0,1,1,3
engine\ams\__init__.py,1,0,0,0,1
engine\lammps\__init__.py,1,0,0,0,1
engine\reaxff\__init__.py,1,0,0,0,1
__init__.py,0,0,0,0,0
analysis\data\__init__.py,0,0,1,0,1
core\study\__init__.py,0,0,1,1,2
engine\common\__init__.py,0,0,0,0,0
engine\common\data\__init__.py,0,0,0,0,0
engine\common\generators\__init__.py,0,0,0,0,0
engine\common\io\__init__.py,0,0,0,0,0
engine\reaxff\data\__init__.py,0,0,1,0,1
engine\reaxff\generators\__init__.py,0,0,4,1,5
engine\reaxff\io\__init__.py,0,0,4,1,5
help\__init__.py,0,0,5,1,6
help\data\__init__.py,0,0,1,0,1
presentation\movie\__init__.py,0,0,5,1,6
presentation\plot\renderers\__init__.py,0,0,1,0,1
trash\__init__.py,0,0,0,0,0
under_dev\__init__.py,0,0,0,0,0
utils\__init__.py,0,0,5,1,6
webui\backend\__init__.py,0,0,1,1,2
webui\backend\adapters\__init__.py,0,0,1,1,2
webui\presentation\renderers\__init__.py,0,0,1,1,2
webui\ui\__init__.py,0,0,1,0,1
webui\ui\analysis\__init__.py,0,0,1,0,1
webui\ui\logs\__init__.py,0,0,1,0,1
webui\ui\shared\__init__.py,0,0,1,0,1
webui\ui\shell\__init__.py,0,0,1,0,1
workflows\file_tools\__init__.py,0,0,1,0,1
workflows\meta\__init__.py,0,0,4,1,5
