,core_atom_type,core_atom_id,mu_x (debye),mu_y (debye),mu_z (debye),P_x (uC/cm^2),P_y (uC/cm^2),P_z (uC/cm^2),volume (angstrom^3)
15,Al,32,20.837802121259262,7.504990461060596,26.382915410864868,640.8164692814092,230.79792490883256,811.3430871719407,10.84669883521582
16,Al,49,-6.211146874280332,25.96657487995195,109.93345515836296,-144.8415010609535,605.5303085164395,2563.604916169247,14.304020346272583
17,Al,50,-9.439137998395783,18.438821231720716,123.1117175034265,-169.75710292341572,331.61088164529986,2214.088670264121,18.54742901341747
18,Al,51,6.685127945827109,29.02416648228635,122.36811293109915,371.0744933907222,1611.0578527109803,6792.343524469118,6.00935634142824
19,Al,52,1.149223815752346,40.010409765105486,14.038014556748944,28.869578925886888,1005.0989778823946,352.6480774708792,13.278331443173041
20,Al,53,5.140992492210306,3.0238232414922663,31.670349736020498,500.70383465650514,294.5034241214576,3084.5144360287477,3.4248802353759826
21,Al,54,3.362524432754201,2.29537140732196,31.41721808513304,325.2605741480845,222.03372399501404,3039.0210084320133,3.448366056284521
22,Al,55,2.9474409580371863,5.317551796849738,33.950447157900044,289.05136819530753,521.4847877232493,3329.472359768194,3.4013351088598447
23,Al,56,3.2360643978845087,-16.76580232974864,20.9234409358473,95.94372428197154,-497.077103021498,620.3439120344397,11.25070973032826
24,Al,57,-13.791591913513678,-15.66276630637678,17.262872526703024,-114.98297616959255,-130.58329279532683,143.9236654335508,40.009229671268635
25,Al,58,5.430487929776834,2.060123346772811,24.405090202078238,486.34561850156035,184.50127801258213,2185.679968798657,3.7245446258290382
26,Al,59,5.03813177670418,4.0876323121357725,23.228114408678675,492.5888902009287,399.656530123873,2271.0622915695626,3.4116482443318827
27,Al,60,-9.543553712858698,17.317506902691626,122.44191928492344,-167.52064188539026,303.9789956109121,2149.256925609679,19.002954601271572
28,Al,61,3.266823361524912,5.124623604346534,21.768322177346192,291.34336561671904,457.0265738862219,1941.352667447778,3.7402433271742583
29,Al,62,4.733264428368187,5.839066977319456,32.91227151559635,450.90965486755135,556.2528177618279,3135.3543024261166,3.5014712921193936
30,Al,63,3.2659282724011818,3.1053985332598697,13.978650614414924,276.73360007515254,263.13135013993303,1184.4602777744658,3.9366253655045402
31,Al,64,4.74278931452371,23.36824857771256,22.807069148789733,129.22697841745256,636.7156443905812,621.4251650670208,12.242214370073167
32,Al,81,11.296285709106114,15.246524860764747,91.59399905260247,524.0629055709386,707.3243652071361,4249.274364375742,7.190044608751437
33,Al,82,0.632867817029088,0.21332582798850203,5.756055335346912,57.42138093767982,19.355485147399627,522.258577882667,3.6763657852032234
34,Al,83,16.854703684813057,44.827620683093244,182.06612607612806,248.10545919907412,659.8738027297525,2680.058971040599,22.660220861857795
35,Al,84,-0.16529380930452692,-0.41436744904848344,-0.3511092608205796,-15.397479857597755,-38.59923415893745,-32.7065955709259,3.580851251809696
36,Al,85,-1.9462369118889262,-0.7491412883310236,-10.828720253486754,-164.77414496362147,-63.4245062806285,-916.7913268517648,3.9399070437659773
37,Al,86,0.4846797191313725,19.47358530933231,3.726203631117318,13.136510878639143,527.8020828282534,100.99311484277229,12.30705537894213
38,Al,87,34.28356620205069,-8.967072713691321,108.17926553371575,194.29933463479372,-50.820158312113435,613.0972253762903,58.85644341266773
39,Al,88,11.142842977785072,14.426444947702802,110.2831534058812,266.76837740065855,345.38037716507404,2640.264961766771,13.932883329386314
40,Al,89,40.82692772915236,18.02970121048863,188.78509962472629,385.7677588834603,170.3600495107109,1783.8032113501251,35.302064905369214
41,Al,90,-0.6128383231350633,-0.12028608015710815,-3.9119773547962935,-52.91651459578876,-10.386295823900397,-337.78600159091343,3.863082842025185
42,Al,91,-0.28206951565294636,34.06307185106224,-7.777809077337582,-6.130804165052288,740.3636734567007,-169.0513211820898,15.346807516286948
43,Al,92,1.5008619213710659,1.6876544166837106,6.63496092686112,137.2162651383307,154.29376453897905,606.6011434889026,3.648501104759696
44,Al,93,2.4838084477285878,1.8277168978938292,14.083012847599948,242.63308708607354,178.54218736589954,1375.7119176443816,3.414659574263138
45,Al,94,12.43018337901926,-2.339127733644883,-14.847868923437195,320.71165278767785,-60.35192713286705,-383.09045310207273,12.92832118187457
46,Al,95,0.14743855787138485,0.07772192114199702,-0.25542770260865744,13.395583261480102,7.061453129567515,-23.206975888679118,3.671375312682747
47,Al,96,25.55711603908959,25.719622945220582,108.83676411019334,321.2505406969091,323.29323719606475,1368.0678705932373,26.536724434618556
48,Al,113,-0.052402094008930006,28.36540459584091,121.47611772415964,-0.869648192959681,470.7430746019337,2015.9783356857877,20.099459559224087
49,Al,114,0.6924134765885721,0.47863757635196325,7.516889282894493,62.7554567467568,43.38032221457759,681.2776414852216,3.6803858672322343
50,Al,115,1.3003194492988348,0.4139101719939557,5.693075504814507,119.02750515892264,37.88814753090632,521.1277693222551,3.6440310158552984
51,Al,116,9.715143026763059,24.30394125491149,110.62956609836985,495.4546360573166,1239.4568289976708,5641.9067899929005,6.540706163986721
52,Al,117,-0.5307009483957748,-18.44627563183241,-5.537611068792188,-14.773071172469486,-513.487197638894,-154.1499458254466,11.982802757582391
53,Al,118,33.70904011662761,10.86663823698745,162.5124128686002,1155.4170992824122,372.4668393787383,5570.304583707292,9.731660116095924
54,Al,119,-1.3271203084445289,-0.4132602984562228,-4.4569828459086445,-117.826734081506,-36.690804128916284,-395.70770581170865,3.7570397681391654
55,Al,120,0.223966450463909,1.282303374578723,3.28956333961254,20.93860531561728,119.88243864013329,307.5410102102338,3.5679154442812733
56,Al,121,0.19568560400251844,0.035927991955617675,1.439071664416116,17.193110337667296,3.1566651673354973,126.43810992758762,3.796503144271629
57,Al,122,-15.378866757888954,-18.493750406773003,2.6523250389861355,-123.39452727460836,-148.38723976899865,21.281307622774882,41.572656107498574
58,Al,123,12.686784151395557,18.10475274538682,106.83442356535848,642.5067724938771,916.8932106375096,5410.499607867264,6.586476979743723
59,Al,124,0.23360671198760374,11.422274612078569,115.63421727419968,3.9070153843633992,191.03476203279027,1933.9541317335604,19.944333725451607
60,Al,125,9.754914749313318,-27.63068736355512,114.91273145753564,124.30538829564018,-352.0936276602452,1464.3153806082328,26.176577351308097
61,Al,126,0.2463400881618481,0.7266646819415562,2.623630960853386,22.864221280314293,67.44587212124793,243.5140755792177,3.5938340161491418
62,Al,127,-16.368762728296456,-2.0692736790593647,-13.105595433773807,-406.0198096313119,-51.32740447110179,-325.0784101065418,13.44769861605075
63,Al,128,1.7647817251531002,20.366208095736944,8.269697157245067,51.067165733428375,589.3332355854163,239.2987128522417,11.5273261235215
