identifier,value1,value2,value3,diff1,diff2,diff3,a,b,c,parabol_min,parabol_min_diff,value4,diff4
4 13  1,0.3315648426,0.3325648426,0.3320648426,16410.29293,16415.42147,16412.71286,577370.3814,-378320.277,78374.6418,0.3276235578,16401.32386,0.3282491942,16401.54985
4 13  2,1.819951191,1.820951191,1.820451191,16400.28236,16399.53806,16399.67164,954276.0359,-3475170.195,3180266.016,1.820841174,16399.52614,1.820841174,16399.52614
4 13  3,10.1324,10.1449,10.13865,16397.42264,16403.44809,16399.62443,20760.08049,-420476.3436,2145487.266,10.1270403,16396.82591,10.1270403,16396.82591
4 13  4,1.431976571,1.432976571,1.432476571,16391.79516,16401.45812,16396.40595,882782.1446,-2519466.522,1814013.808,1.427003558,16369.96283,1.427003558,16369.96283
5 71  1,89.75,90.25,90.0,16368.01013,16328.27957,16348.03241,1.799029559,-403.2864451,38071.67304,112.084441,15470.60481,90.0,16348.03205
5 71  2,11.9184,12.4184,12.1684,16353.04867,16343.85861,16348.03241,6.739661741,-182.4019346,17569.63068,13.53197991,16335.50065,12.542584,16342.09814
5 71  3,2.653318,2.703318,2.678318,16345.35382,16338.75478,16342.02885,40.71234775,-350.0621744,16987.56124,4.299213798,16235.06481,2.73035118,16335.27133
5 71  5,0.1350669706,0.1850669706,0.1600669706,16344.5202,16328.44468,16335.28011,1923.725662,-937.3603766,16436.03193,0.2436315102,16321.84631,0.1869176403,16328.0339
5 71  7,2.3377,2.3877,2.3627,16324.11818,16332.16316,16328.11844,35.57525926,-7.207790486,16146.55469,0.1013034148,16146.18924,2.314323,16320.41749
5 73  1,57.842903,58.342903,58.092903,16320.87237,16320.98762,16320.92931,0.01088725682,-1.034452387,16344.2815,47.50748531,16319.70902,57.26447397,16320.74547
5 73  2,0.04031214809,0.5403121481,0.2903121481,16319.72456,16321.63654,16320.6802,0.005614682654,3.820699146,16319.57053,-340.2417716,15669.58946,0.2,16320.33453
5 73  3,0.7949,0.8449,0.8199,16320.37676,16320.42252,16320.39965,-0.01985929557,0.9477757616,16319.63592,23.8622704,16330.94359,0.7949,16320.37639
5 73  5,1.7859,1.8359,1.8109,16320.38453,16320.38592,16320.38524,-0.03333103086,0.1484868169,16320.22565,2.227456113,16320.39066,1.7859,16320.38416
5 73  7,2.975,3.025,3.0,16320.38545,16320.3685,16320.37687,0.1665375719,-1.338165363,16322.89253,4.017608,16320.20405,3.0,16320.37651
5 74  1,63.064981,63.564981,63.314981,16320.62037,16320.21089,16320.37687,0.6201600998,-79.34981022,18858.31896,63.9752624,16320.10613,63.9752624,16320.10613
5 74  2,27.71202756,28.21202756,27.96202756,16320.20917,16320.01158,16320.04071,1.114654002,-62.73116068,17202.61107,28.13929728,16320.00532,28.13929728,16320.00532
5 74  3,0.7014617872,0.7514617872,0.7264617872,16320.6081,16321.24744,16320.07039,1371.804861,-1980.34072,17034.74672,0.7218011744,16320.04023,0.7218011744,16320.04023
5 74  5,3.017765,3.067765,3.042765,16320.02872,16320.07698,16320.04998,4.602880543,-27.04578693,16359.72855,2.937919709,16319.99901,2.98758735,16320.01037
5 74  7,1.504847,1.554847,1.529847,16319.85294,16320.2229,16320.00355,54.98665821,-160.8432676,16437.37662,1.46256631,16319.75428,1.48979853,16319.79506
5 95  1,89.58501889,90.08501889,89.83501889,16355.59013,16285.69255,16319.7299,14.58313093,-2759.946834,146568.9178,94.62806192,15984.70746,90.0,16297.06291
5 95  2,33.2851,33.7851,33.5351,16293.31067,16300.07414,16296.77083,-1.25474454,97.68292648,14432.05351,38.92542401,16333.22781,33.2851,16293.3103
5 95  3,1.909,1.959,1.934,16297.33241,16291.413,16293.31942,1685.249112,-6636.931851,22825.714,1.969124862,16291.23987,1.969124862,16291.23987
5 95  5,-0.015,0.035,0.01,16256.65137,16333.29402,16291.29834,5878.962017,1415.273817,16276.55771,-0.1203676612,16191.38074,0.01,16291.29798
5 95  7,1.3811,1.4311,1.4061,16311.09473,16276.50519,16291.29834,4002.589825,-11947.87377,25177.61442,1.492517881,16261.40644,1.445411,16270.28842
5102  1,31.960046,32.460046,32.210046,16249.49419,16288.994,16268.67145,9.16239934,-511.2429861,23229.96076,27.89896877,16098.38435,31.64044554,16226.64555
5102  2,15.724766,16.224766,15.974766,16261.79175,16197.65142,16226.6878,48.54048212,-1679.126353,30663.1399,17.29614416,16141.93381,16.38701366,16182.0534
5102  3,1.759973,1.809973,1.784973,16197.11825,16168.13437,16181.7247,1442.565124,-5729.557104,21812.63143,1.98589201,16123.49023,1.82807273,16159.42009
5102  5,0.01035,0.06035,0.03535,16192.36103,16154.01479,16159.32138,22186.4547,-2335.507221,16214.15686,0.05263362832,16152.69339,0.05263362832,16152.69339
5102  7,2.971109356,3.021109356,2.996109356,16161.94515,16147.2407,16152.9273,2664.997711,-16263.33826,40956.85882,3.051285596,16144.81358,3.0,16151.82308
3 18  1,141.5306848,141.7806848,141.6556848,16154.78151,16148.68568,16151.87203,-8.860119615,2485.789276,-158184.1991,140.279668,16168.64762,141.7806848,16148.68532
3 18  4,-0.792668,-0.797668,-0.795168,16149.68353,16146.77858,16148.69062,-73530.17821,-116356.6996,-29881.87914,-0.7912173099,16149.83792,-0.797668,16146.77822
3 18  8,0.99875,1.00125,1.0,16147.81839,16145.72423,16146.77087,281.5141482,-1400.690587,17265.94731,2.487780092,15523.64188,1.0,16146.77051
3 18  9,1.569793,1.579793,1.574793,16145.9368,16147.94793,16146.77087,6859.82537,-21404.49719,32842.24156,1.560134263,16145.29648,1.560134263,16145.29648
3 18 13,-0.089,-0.09,-0.0895,16135.10809,16152.42396,16145.21147,-5781761.701,-1052251.209,-31717.91504,-0.0909974557,16158.17598,-0.089,16135.10773
3 18 14,4.685180366,4.690180366,4.687680366,16135.30873,16135.27879,16135.17489,19019.77437,-178323.2341,434110.3722,4.68783779,16135.17405,4.68783779,16135.17405
4 12  1,0.292738,0.293738,0.293238,16134.46751,16135.9015,16135.17971,19200.83175,-9826.836988,17365.73054,0.2558961277,16108.40541,0.28981062,16130.49007
4 12  2,1.5463634,1.5473634,1.5468634,16130.18826,16131.14751,16130.59915,274941.2273,-849633.7899,672522.3886,1.54511893,16129.76209,1.54511893,16129.76209
4 12  3,12.8575625,12.8700625,12.8638125,16128.88453,16130.03934,16129.43517,685.1230836,-17534.20463,128313.5829,12.7963902,16126.3204,12.7963902,16126.3204
3 17  1,9.875,10.125,10.0,16124.90119,16124.90119,16124.90119,,,,10.0,,10.0,
3 17  4,0.3541,0.3591,0.3566,16124.90119,16124.90119,16124.90119,,,,0.3566,,0.3566,
