identider,sensitivity1/3,sensitivity2/3,sensitivity4/3,min_sensitivity,max_sensitivity
4 12  2,1.0000037723906947,1.0000022463779126,0.9999999292336522,0.9999999292336522,1.0000037723906947
4 12  3,0.9999520030622716,1.0000492066141877,0.9992281187575307,0.9992281187575307,1.0000492066141877
3 17  1,1.0,1.0,,1.0,1.0
3 17  4,1.0,1.0,,1.0,1.0
3 17  8,1.0,1.0,,1.0,1.0
3 17  9,1.0,1.0,,1.0,1.0
3 17 13,1.0,1.0,,1.0,1.0
3 17 14,1.0,1.0,,1.0,1.0
3 10  1,1.0010131394111137,0.9990373337702406,0.9999999776051359,0.9990373337702406,1.0010131394111137
3 10  4,0.999846886920005,1.0002358179180644,0.9997717787829692,0.9997717787829692,1.0002358179180644
3 10  8,1.0001352322976456,0.9998668194008586,0.9994395006690117,0.9994395006690117,1.0001352322976456
3 10  9,1.0000562861570244,0.9999524089450862,0.9998448523371457,0.9998448523371457,1.0000562861570244
3 10 13,0.9981638817079682,1.0021853796141271,0.996721819697198,0.996721819697198,1.0021853796141271
3 10 14,0.9998258270154652,1.0001821198769827,0.9980140071691967,0.9980140071691967,1.0001821198769827
4 13  1,0.9998525575862661,1.0001650312183674,0.9993198558888332,0.9993198558888332,1.0001650312183674
4 13  2,1.000037239770003,0.9999918547149642,0.9999911278711432,0.9999911278711432,1.000037239770003
4 13  3,0.9998657414375922,1.0002331553393995,0.9998293546287023,0.9998293546287023,1.0002331553393995
4 13  4,0.9997187926418717,1.0003081266721137,0.9983872612034225,0.9983872612034225,1.0003081266721137
5 71  1,1.0012220259600035,0.9987917298238339,0.9999999779790013,0.9987917298238339,1.0012220259600035
5 71  2,1.0003068418188927,0.9997446909881677,0.9996370040227979,0.9996370040227979,1.0003068418188927
5 71  3,1.0002034612734145,0.9997996533949332,0.9995864944272204,0.9995864944272204,1.0002034612734145
5 71  5,1.0005656523755808,0.9995815541604447,0.9995564073617835,0.9995564073617835,1.0005656523755808
5 71  7,0.9997550079015718,1.000247715008613,0.999528362681328,0.999528362681328,1.000247715008613
5 73  1,0.999996511228073,1.0000035727132257,0.9999887359355275,0.9999887359355275,1.0000035727132257
5 73  2,0.9999414460679157,1.0000585968224533,0.9999788201229505,0.9999414460679157,1.0000585968224533
5 73  3,0.9999985974608164,1.0000014013137233,0.999998574789803,0.999998574789803,1.0000014013137233
5 73  5,0.9999999564961249,1.0000000416656831,0.9999999338250914,0.9999999338250914,1.0000000416656831
5 73  7,1.000000525723154,0.9999994871441961,0.9999999779416858,0.9999994871441961,1.000000525723154
5 74  1,1.0000149199985968,0.9999898298917163,0.9999834109222994,0.9999834109222994,1.0000149199985968
5 74  2,1.0000103222781729,0.9999982150779819,0.9999978315005074,0.9999978315005074,1.0000103222781729
5 74  3,1.000032947774559,1.0000721228506906,0.9999981519687551,0.9999981519687551,1.0000721228506906
5 74  5,0.9999986973079111,1.000001654406698,0.9999975729240996,0.9999975729240996,1.000001654406698
5 74  7,0.9999907714480859,1.0000134405608019,0.99998722488023,0.99998722488023,1.0000134405608019
5 95  1,1.0021973543814595,0.9979143435455999,0.9986110683118598,0.9979143435455999,1.0021973543814595
5 95  2,0.9997876781826232,1.0002026972112732,0.9997876554787388,0.9997876554787388,1.0002026972112732
5 95  3,1.0002462966505816,0.9998829937626056,0.9998723679352013,0.9998723679352013,1.0002462966505816
5 95  5,0.9978732836832942,1.0025777982284498,0.9999999779023138,0.9978732836832942,1.0025777982284498
5 95  7,1.00121515115535,0.9990919600334323,0.9987103593856351,0.9987103593856351,1.00121515115535
5102  1,0.9988212153611351,1.001249183134742,0.9974167589449967,0.9974167589449967,1.001249183134742
5102  2,1.0021633466073094,0.9982105787479316,0.9972493215775065,0.9972493215775065,1.0021633466073094
5102  3,1.0009512922933363,0.9991601432942435,0.9986216172618484,0.9986216172618484,1.0009512922933363
5102  5,1.0020446186583611,0.9996716081155136,0.9995898348795635,0.9995898348795635,1.0020446186583611
5102  7,1.0005582796128847,0.9996479523559795,0.9999316396353743,0.9996479523559795,1.0005582796128847
3 18  1,1.0001801326802613,0.9998027256534672,0.9998027033650291,0.9998027033650291,1.0001801326802613
3 18  4,1.0000614854803629,0.9998815978307473,0.9998815755379182,0.9998815755379182,1.0000614854803629
3 18  8,1.000064874890988,0.9999351796090731,0.9999999777045204,0.9999351796090731,1.000064874890988
3 18  9,0.9999483444704383,1.0000728975477189,0.9999086882441158,0.9999086882441158,1.0000728975477189
3 18 13,0.9993742181687262,1.000446726263908,0.9993741958710931,0.9993741958710931,1.000446726263908
