iter,molecular_formula,molecular_mass
14000,N128Al128,5245.696
14025,N128Al128,5245.696
14050,N128Al128,5245.696
14075,N128Al128,5245.696
14100,N128Al128,5245.696
14125,N128Al128,5245.696
14150,N128Al128,5245.696
14175,N128Al128,5245.696
14200,N128Al128,5245.696
14225,N128Al128,5245.696
14250,N128Al128,5245.696
14275,N128Al128,5245.696
14300,N128Al128,5245.696
14325,N128Al128,5245.696
14350,N128Al128,5245.696
14375,N128Al128,5245.696
14400,N128Al128,5245.696
14425,N128Al128,5245.696
14450,N128Al128,5245.696
14475,N128Al128,5245.696
14500,N128Al128,5245.696
14525,N128Al128,5245.696
14550,N128Al128,5245.696
14575,N128Al128,5245.696
14600,N128Al128,5245.696
14625,N128Al128,5245.696
14650,N128Al128,5245.696
14675,N128Al128,5245.696
14700,N128Al128,5245.696
14725,N128Al128,5245.696
14750,N128Al128,5245.696
14775,N128Al128,5245.696
14800,N128Al128,5245.696
14825,N128Al128,5245.696
14850,N128Al128,5245.696
14875,N128Al128,5245.696
14900,N128Al128,5245.696
14925,N128Al128,5245.696
14950,N128Al128,5245.696
14975,N128Al128,5245.696
15000,N128Al128,5245.696
15025,N128Al128,5245.696
15050,N128Al128,5245.696
15075,N128Al128,5245.696
15100,N128Al128,5245.696
15125,N128Al128,5245.696
15150,N128Al128,5245.696
15175,N128Al128,5245.696
15200,N128Al128,5245.696
15225,N128Al128,5245.696
15250,N128Al128,5245.696
15275,N128Al128,5245.696
15300,N128Al128,5245.696
15325,N128Al128,5245.696
15350,N128Al128,5245.696
15375,N128Al128,5245.696
15400,N128Al128,5245.696
15425,N128Al128,5245.696
15450,N128Al128,5245.696
15475,N128Al128,5245.696
15500,N128Al128,5245.696
15525,N128Al128,5245.696
15550,N128Al128,5245.696
15575,N128Al128,5245.696
15600,N128Al128,5245.696
15625,N128Al128,5245.696
15650,N128Al128,5245.696
15675,N128Al128,5245.696
15700,N128Al128,5245.696
15725,N128Al128,5245.696
15750,N128Al128,5245.696
15775,N128Al128,5245.696
15800,N128Al128,5245.696
15825,N128Al128,5245.696
15850,N128Al128,5245.696
15875,N128Al128,5245.696
15900,N128Al128,5245.696
15925,N128Al128,5245.696
15950,N128Al128,5245.696
15975,N128Al128,5245.696
16000,N128Al128,5245.696
16025,N128Al128,5245.696
16050,N128Al128,5245.696
16075,N128Al128,5245.696
16100,N128Al128,5245.696
16125,N128Al128,5245.696
16150,N128Al128,5245.696
16175,N128Al128,5245.696
16200,N128Al128,5245.696
16225,N128Al128,5245.696
16250,N128Al128,5245.696
16275,N128Al128,5245.696
16300,N128Al128,5245.696
16325,N128Al128,5245.696
16350,N128Al128,5245.696
16375,N128Al128,5245.696
16400,N128Al128,5245.696
16425,N128Al128,5245.696
16450,N128Al128,5245.696
16475,N128Al128,5245.696
16500,N128Al128,5245.696
16525,N128Al128,5245.696
16550,N128Al128,5245.696
16575,N128Al128,5245.696
16600,N128Al128,5245.696
16625,N128Al128,5245.696
16650,N128Al128,5245.696
16675,N128Al128,5245.696
16700,N128Al128,5245.696
16725,N128Al128,5245.696
16750,N128Al128,5245.696
16775,N128Al128,5245.696
16800,N128Al128,5245.696
16825,N128Al128,5245.696
16850,N128Al128,5245.696
16875,N128Al128,5245.696
16900,N128Al128,5245.696
16925,N128Al128,5245.696
16950,N128Al128,5245.696
16975,N128Al128,5245.696
17000,N128Al128,5245.696
17025,N128Al128,5245.696
17050,N128Al128,5245.696
17075,N128Al128,5245.696
17100,N128Al128,5245.696
17125,N128Al128,5245.696
17150,N128Al128,5245.696
17175,N128Al128,5245.696
17200,N128Al128,5245.696
17225,N128Al128,5245.696
17250,N128Al128,5245.696
17275,N128Al128,5245.696
17300,N128Al128,5245.696
17325,N128Al128,5245.696
17350,N128Al128,5245.696
17375,N128Al128,5245.696
17400,N128Al128,5245.696
17425,N128Al128,5245.696
17450,N128Al128,5245.696
17475,N128Al128,5245.696
17500,N128Al128,5245.696
17525,N128Al128,5245.696
17550,N128Al128,5245.696
17575,N128Al128,5245.696
17600,N128Al128,5245.696
17625,N128Al128,5245.696
17650,N128Al128,5245.696
17675,N128Al128,5245.696
17700,N128Al128,5245.696
17725,N128Al128,5245.696
17750,N128Al128,5245.696
17775,N128Al128,5245.696
17800,N128Al128,5245.696
17825,N128Al128,5245.696
17850,N128Al128,5245.696
17875,N128Al128,5245.696
17900,N128Al128,5245.696
17925,N128Al128,5245.696
17950,N128Al128,5245.696
17975,N128Al128,5245.696
18000,N128Al128,5245.696
18025,N128Al128,5245.696
18050,N128Al128,5245.696
18075,N128Al128,5245.696
18100,N128Al128,5245.696
18125,N128Al128,5245.696
18150,N128Al128,5245.696
18175,N128Al128,5245.696
18200,N128Al128,5245.696
18225,N128Al128,5245.696
18250,N128Al128,5245.696
18275,N128Al128,5245.696
18300,N128Al128,5245.696
18325,N128Al128,5245.696
18350,N128Al128,5245.696
18375,N128Al128,5245.696
18400,N128Al128,5245.696
18425,N128Al128,5245.696
18450,N128Al128,5245.696
18475,N128Al128,5245.696
18500,N128Al128,5245.696
18525,N128Al128,5245.696
18550,N128Al128,5245.696
18575,N128Al128,5245.696
18600,N128Al128,5245.696
18625,N128Al128,5245.696
18650,N128Al128,5245.696
18675,N128Al128,5245.696
18700,N128Al128,5245.696
18725,N128Al128,5245.696
18750,N128Al128,5245.696
18775,N128Al128,5245.696
18800,N128Al128,5245.696
18825,N128Al128,5245.696
18850,N128Al128,5245.696
18875,N128Al128,5245.696
18900,N128Al128,5245.696
18925,N128Al128,5245.696
18950,N128Al128,5245.696
18975,N128Al128,5245.696
19000,N128Al128,5245.696
19025,N128Al128,5245.696
19050,N128Al128,5245.696
19075,N128Al128,5245.696
19100,N128Al128,5245.696
19125,N128Al128,5245.696
19150,N128Al128,5245.696
19175,N128Al128,5245.696
19200,N128Al128,5245.696
19225,N128Al128,5245.696
19250,N128Al128,5245.696
19275,N128Al128,5245.696
19300,N128Al128,5245.696
19325,N128Al128,5245.696
19350,N128Al128,5245.696
19375,N128Al128,5245.696
19400,N128Al128,5245.696
19425,N128Al128,5245.696
19450,N128Al128,5245.696
19475,N128Al128,5245.696
19500,N128Al128,5245.696
19525,N128Al128,5245.696
19550,N128Al128,5245.696
19575,N128Al128,5245.696
19600,N128Al128,5245.696
19625,N128Al128,5245.696
19650,N128Al128,5245.696
19675,N128Al128,5245.696
19700,N128Al128,5245.696
19725,N128Al128,5245.696
19750,N128Al128,5245.696
19775,N128Al128,5245.696
19800,N128Al128,5245.696
19825,N128Al128,5245.696
19850,N128Al128,5245.696
19875,N128Al128,5245.696
19900,N128Al128,5245.696
19925,N128Al128,5245.696
19950,N128Al128,5245.696
19975,N128Al128,5245.696
20000,N128Al128,5245.696
20025,N128Al128,5245.696
20050,N128Al128,5245.696
20075,N128Al128,5245.696
20100,N128Al128,5245.696
20125,N128Al128,5245.696
20150,N128Al128,5245.696
20175,N128Al128,5245.696
20200,N128Al128,5245.696
20225,N128Al128,5245.696
20250,N128Al128,5245.696
20275,N128Al128,5245.696
20300,N128Al128,5245.696
20325,N128Al128,5245.696
