lineno,section,title,ffield_value,qm_value,weight,error,total_ff_error,difference
89,ENERGY,Energy +c23_0/  1 -c23_e4/  1,0.1408,-0.1782,1.0,0.1018,3.2934,-0.319
40,ENERGY,Energy +c33_0/  1 -c33_c6/  1,-0.0653,-0.4029,1.0,0.114,1.4358,-0.3376
80,ENERGY,Energy +c23_0/  1 -c23_c5/  1,-0.6275,-0.2785,1.0,0.1218,2.9769,0.3489999999999999
67,ENERGY,Energy +c13_0/  1 -c13_c5/  1,-0.6275,-0.2785,1.0,0.1218,1.8851,0.3489999999999999
26,ENERGY,Energy +c11_0/  1 -c11_e6/  1,-0.1728,-0.528,1.0,0.1262,0.916,-0.3552
39,ENERGY,Energy +c22_0/  1 -c22_e6/  1,-0.1728,-0.528,1.0,0.1262,1.3219,-0.3552
12,ENERGY,Energy +bulk_0/  1 -bulk_e4/  1,-0.4413,-0.8119,1.0,0.1374,0.2276,-0.37059999999999993
118,ENERGY,Energy +c66_0/  1 -c66_c6/  1,-0.787,-0.3679,1.0,0.1756,7.7923,0.41910000000000003
130,ENERGY,Energy +c66_0/  1 -c66_e6/  1,-0.787,-0.3679,1.0,0.1756,8.1674,0.41910000000000003
90,ENERGY,Energy +c23_0/  1 -c23_e5/  1,0.1428,-0.2785,1.0,0.1775,3.4709,-0.4213
77,ENERGY,Energy +c13_0/  1 -c13_e5/  1,0.1428,-0.2785,1.0,0.1775,2.3791,-0.4213
66,ENERGY,Energy +c13_0/  1 -c13_c6/  1,-0.8353,-0.401,1.0,0.1886,1.7633,0.4343
79,ENERGY,Energy +c23_0/  1 -c23_c6/  1,-0.8353,-0.401,1.0,0.1886,2.8551,0.4343
116,ENERGY,Energy +c55_0/  1 -c55_e5/  1,-0.8746,-0.3884,1.0,0.2364,6.9919,0.4862
103,ENERGY,Energy +c44_0/  1 -c44_e5/  1,-0.8746,-0.3884,1.0,0.2364,5.0626,0.4862
93,ENERGY,Energy +c44_0/  1 -c44_c5/  1,-0.8746,-0.3884,1.0,0.2364,4.6194,0.4862
